Date,close_real,real,proba_sobe,pred,acerto
2023-05-18,4153.5,1,0.6823,1,1
2023-05-19,4180.2001953125,0,0.6564,1,0
2023-05-22,4179.68017578125,0,0.402,0,1
2023-05-23,4142.5400390625,1,0.5112,1,1
2023-05-24,4103.97998046875,1,0.7429,1,1
2023-05-25,4129.72998046875,1,0.7429,1,1
2023-05-26,4156.16015625,0,0.4906,0,1
2023-05-30,4192.18017578125,0,0.4747,0,1
2023-05-31,4166.14990234375,0,0.3316,0,1
2023-06-01,4171.64013671875,1,0.5837,1,1
2023-06-02,4241.009765625,1,0.5721,1,1
2023-06-05,4266.81982421875,0,0.6505,1,0
2023-06-06,4263.08984375,0,0.6445,1,0
2023-06-07,4263.9599609375,1,0.5701,1,1
2023-06-08,4261.06982421875,0,0.7153,1,0
2023-06-09,4291.7001953125,1,0.3866,0,0
2023-06-12,4304.3701171875,0,0.6229,1,0
2023-06-13,4349.31005859375,1,0.3538,0,0
2023-06-14,4337.85009765625,1,0.6994,1,1
2023-06-15,4362.60009765625,1,0.6835,1,1
2023-06-16,4407.43994140625,0,0.3824,0,1
2023-06-20,4367.18994140625,0,0.4278,0,1
2023-06-21,4360.14013671875,0,0.3358,0,1
2023-06-22,4351.81982421875,1,0.5715,1,1
2023-06-23,4341.33984375,1,0.5893,1,1
2023-06-26,4328.080078125,1,0.6282,1,1
2023-06-27,4335.0,0,0.4925,0,1
2023-06-28,4360.22021484375,1,0.6741,1,1
2023-06-29,4371.97021484375,1,0.5957,1,1
2023-06-30,4422.43994140625,1,0.5594,1,1
2023-07-03,4442.2900390625,0,0.3342,0,1
2023-07-05,4436.60986328125,1,0.6098,1,1
2023-07-06,4385.0498046875,0,0.4009,0,1
2023-07-07,4397.39990234375,1,0.6819,1,1
2023-07-10,4389.919921875,1,0.4194,0,0
2023-07-11,4408.4599609375,1,0.686,1,1
2023-07-12,4463.22998046875,0,0.6145,1,0
2023-07-13,4489.35986328125,1,0.4668,0,0
2023-07-14,4499.56005859375,1,0.5623,1,1
2023-07-17,4504.89990234375,0,0.4792,0,1
2023-07-18,4514.58984375,0,0.5937,1,0
2023-07-19,4557.47998046875,0,0.5614,1,0
2023-07-20,4527.56005859375,0,0.7402,1,0
2023-07-21,4535.7900390625,0,0.7365,1,0
2023-07-24,4541.2900390625,1,0.4241,0,0
2023-07-25,4552.419921875,1,0.7101,1,1
2023-07-26,4547.580078125,1,0.6056,1,1
2023-07-27,4528.56005859375,1,0.7058,1,1
2023-07-28,4564.009765625,1,0.5978,1,1
2023-07-31,4573.14013671875,0,0.4479,0,1
2023-08-01,4567.52978515625,0,0.5248,1,0
2023-08-02,4505.75,1,0.6245,1,1
2023-08-03,4485.5400390625,0,0.4039,0,1
2023-08-04,4474.5498046875,1,0.7029,1,1
2023-08-07,4491.14990234375,1,0.7365,1,1
2023-08-08,4464.39013671875,1,0.5904,1,1
2023-08-09,4461.330078125,1,0.5833,1,1
2023-08-10,4457.919921875,1,0.4542,0,0
2023-08-11,4443.97998046875,1,0.537,1,1
2023-08-14,4453.43994140625,1,0.6417,1,1
2023-08-15,4432.18994140625,0,0.5679,1,0
2023-08-16,4403.5498046875,1,0.4698,0,0
2023-08-17,4364.830078125,1,0.5566,1,1
2023-08-18,4335.31005859375,1,0.6767,1,1
2023-08-21,4360.2998046875,0,0.6334,1,0
2023-08-22,4382.77001953125,0,0.5983,1,0
